policy,policy_name,alpha,TTB,LOS,RATP,TTB95_CTAS1,TTB95_CTAS2
baseline,CTAS+FIFO,0.0,103.27890258658549,384.05792516403386,0.9559107949225508,39.63847670109847,56.43950592783126
baseline,CTAS+FIFO,0.5,103.27890258658549,384.05792516403386,0.9559107949225508,39.63847670109847,56.43950592783126
baseline,CTAS+FIFO,1.0,103.27890258658549,384.05792516403386,0.9559107949225508,39.63847670109847,56.43950592783126
baseline,CTAS+FIFO,1.5,103.27890258658549,384.05792516403386,0.9559107949225508,39.63847670109847,56.43950592783126
baseline,CTAS+FIFO,2.0,103.27890258658549,384.05792516403386,0.9559107949225508,39.63847670109847,56.43950592783126
multi,Multi-Attribute,0.0,61.603340862712706,339.5821172106157,0.815658495472912,43.79540130391947,75.49293240475559
multi,Multi-Attribute,0.5,63.21693060807049,341.4533904605337,0.8176046968976096,46.37188147529044,72.11120917548433
multi,Multi-Attribute,1.0,73.07219903944447,352.1150024761366,0.8411071064412567,46.60344946148126,67.20824731287038
multi,Multi-Attribute,1.5,76.59496469677002,355.91820221376685,0.8439234424438521,41.89380373819577,65.70853430486522
multi,Multi-Attribute,2.0,77.23637453142946,356.3008049496561,0.8350172928942229,41.37028804633581,65.85184718108219
